titleType,primaryTitle,isAdult,year,runtimeMinutes,genres,averageRating,numVotes
movie,Hart's War,0,2002,125,War,6.3,52570
movie,How to Lose a Guy in 10 Days,0,2003,116,Comedy,6.4,228271
movie,How to Lose a Guy in 10 Days,0,2003,116,Romance,6.4,228271
movie,John Q,0,2002,116,Crime,7.1,130845
movie,John Q,0,2002,116,Drama,7.1,130845
movie,John Q,0,2002,116,Thriller,7.1,130845
movie,House of 1000 Corpses,0,2003,89,Horror,6.1,83512
movie,Maid in Manhattan,0,2002,105,Comedy,5.3,87973
movie,Maid in Manhattan,0,2002,105,Drama,5.3,87973
movie,Maid in Manhattan,0,2002,105,Romance,5.3,87973
movie,Rabbit-Proof Fence,0,2002,94,Biography,7.4,28484
movie,Rabbit-Proof Fence,0,2002,94,Drama,7.4,28484
movie,The Chaos Class,0,1975,87,Comedy,9.3,39661
movie,The Chaos Class,0,1975,87,Drama,9.3,39661
movie,Hearts in Atlantis,0,2001,101,Drama,6.9,38467
movie,Hearts in Atlantis,0,2001,101,Mystery,6.9,38467
movie,Heist,0,2001,109,Action,6.5,35678
movie,Heist,0,2001,109,Crime,6.5,35678
movie,Heist,0,2001,109,Drama,6.5,35678
movie,American Pie 2,0,2001,108,Comedy,6.4,250218
movie,The Pianist,0,2002,150,Biography,8.5,791866
movie,The Pianist,0,2002,150,Drama,8.5,791866
movie,The Pianist,0,2002,150,Music,8.5,791866
movie,Reign of Fire,0,2002,101,Action,6.2,132950
movie,Reign of Fire,0,2002,101,Adventure,6.2,132950
movie,Reign of Fire,0,2002,101,Fantasy,6.2,132950
movie,Star Trek: Nemesis,0,2002,116,Action,6.4,77673
movie,Star Trek: Nemesis,0,2002,116,Adventure,6.4,77673
movie,Star Trek: Nemesis,0,2002,116,Sci-Fi,6.4,77673
movie,The Sweetest Thing,0,2002,84,Comedy,5.2,58047
movie,The Sweetest Thing,0,2002,84,Romance,5.2,58047
movie,Sex and Lucía,0,2001,128,Drama,7.1,36492
movie,Sex and Lucía,0,2001,128,Romance,7.1,36492
movie,The Piano Teacher,0,2001,131,Drama,7.5,61465
movie,The Piano Teacher,0,2001,131,Music,7.5,61465
movie,The Animal,0,2001,84,Comedy,4.8,59526
movie,The Animal,0,2001,84,Sci-Fi,4.8,59526
movie,The Devil's Backbone,0,2001,106,Drama,7.4,64746
movie,The Devil's Backbone,0,2001,106,Horror,7.4,64746
movie,The Devil's Backbone,0,2001,106,Thriller,7.4,64746
movie,Shallow Hal,0,2001,114,Comedy,5.9,132020
movie,Shallow Hal,0,2001,114,Drama,5.9,132020
movie,Shallow Hal,0,2001,114,Fantasy,5.9,132020
